model,gameweek,target_gameweek,position,kendall_tau,ndcg,player_count,p_value
DeepLearning,6,7,FWD,0.6063860362832755,0.6744773420187982,73,1.2722893696122296e-11
DeepLearning,6,7,ALL,0.55089499669661,0.8462626727787416,664,1.3482333546592021e-78
DeepLearning,7,8,GK,0.45211381769399034,0.7424822876141414,70,1.2892404296362726e-06
DeepLearning,7,8,DEF,0.4471358135371663,0.8567409013731969,219,5.673092610714512e-18
DeepLearning,7,8,MID,0.5713448871755046,0.8611120165905871,303,1.0311773008130448e-39
DeepLearning,7,8,FWD,0.6782818266493524,0.7510236299405098,74,2.2737266971532032e-14
DeepLearning,7,8,ALL,0.5388760692669254,0.8968842183608289,666,1.885699615464786e-75
DeepLearning,8,9,GK,0.5085450183775426,0.6244953987685786,70,6.271634832523516e-08
DeepLearning,8,9,DEF,0.5239495279011557,0.9501430007070926,219,5.69260222198396e-24
DeepLearning,8,9,MID,0.5504556179887167,0.8247436541368488,304,1.3076745659976497e-36
DeepLearning,8,9,FWD,0.6112793498776108,0.8062248204134145,74,2.993431474096619e-12
DeepLearning,8,9,ALL,0.546640139896338,0.9482967295148942,667,4.041775968604746e-77
DeepLearning,9,10,GK,0.5908316810355159,0.7722514109643154,72,2.8205081225132663e-10
DeepLearning,9,10,DEF,0.5332434603819076,0.7579697815242112,220,5.291903551238505e-25
DeepLearning,9,10,MID,0.5650705070555447,0.8712773254013103,304,1.3984778986350893e-38
DeepLearning,9,10,FWD,0.6057653448717751,0.6685046355792161,74,8.493111868529003e-12
DeepLearning,9,10,ALL,0.5664340637020213,0.877449281465393,670,4.5838022713223665e-83
DeepLearning,10,11,GK,0.5468939451510034,0.7993941001641377,72,3.885257722189993e-09
DeepLearning,10,11,DEF,0.5140982908361114,0.8271427925047498,221,4.2240286699690413e-23
DeepLearning,10,11,MID,0.5798506703832899,0.8687069140009022,307,2.953793150577555e-41
DeepLearning,10,11,FWD,0.6229145190227648,0.6592215056699268,74,2.4765789738148886e-12
DeepLearning,10,11,ALL,0.5636261178183535,0.8459145793914278,674,8.605778320947878e-83
DeepLearning,11,12,GK,0.5523251199806412,0.8666628190348694,72,2.4040710826081875e-09
DeepLearning,11,12,DEF,0.42623443155286683,0.7757596601939482,223,2.2398663740717837e-16
DeepLearning,11,12,MID,0.5123157734719594,0.8619204766041444,308,5.85894672900586e-33
DeepLearning,11,12,FWD,0.6157016415330706,0.6557639955408758,75,2.9942317585335652e-12
DeepLearning,11,12,ALL,0.5022342222582632,0.8762194347130926,678,1.448640448494576e-66
DeepLearning,12,13,GK,0.32263245885326813,0.7851472622122992,72,0.0005313479281125462
DeepLearning,12,13,DEF,0.43913559233592364,0.8456399478726154,226,7.529891425926843e-18
DeepLearning,12,13,MID,0.5828420971375966,0.808271554736718,311,5.3374558874031753e-42
DeepLearning,12,13,FWD,0.6085086279443787,0.634734990837581,75,5.382095209152693e-12
DeepLearning,12,13,ALL,0.5163219648791326,0.8599621535779622,684,1.0646971751315767e-70
DeepLearning,13,14,GK,0.5084109435868789,0.7892553210006165,72,5.067749566626185e-08
