mse,rmse,mae,r2,model_index
5.118957767241812,2.26251138499717,1.124510600686235,0.28528991804315906,0
5.149193475549887,2.2691834380564933,1.1499862566780978,0.2810684013701409,1
5.145627883358588,2.2683976466569056,1.1614724323240164,0.28156623018669724,2
5.053617859513825,2.2480253244823167,1.134750440690743,0.29441269125808345,3
5.13598266040138,2.266270650297837,1.1264210152257408,0.2829128984742054,4
5.050627693375835,2.2473601610280083,1.1496070577030313,0.29483017895435293,5
5.141456352784205,2.2674779718410067,1.1401669366842049,0.28214866026216734,6
5.056930593176415,2.248762013459053,1.1306481309532657,0.2939501666085067,7
5.069453608755219,2.2515447161349513,1.1383239696854628,0.2922017002413978,8
5.1992186878106015,2.280179529732385,1.1343907356296874,0.27408386952196584,9
5.006182684652758,2.2374500407054363,1.180017992625892,0.3010356014781177,10
5.058927973680952,2.2492060763035813,1.1367241158307222,0.29367129187481944,11
5.0044675254429185,2.2370667235115986,1.1819174123271439,0.30127507240856344,12
5.251498901305356,2.291614911215529,1.0887820413780334,0.26678449387353365,13
5.146395125371038,2.2685667557669618,1.142983851696503,0.28145910767728566,14
5.106231672831805,2.2596972524725087,1.1423871117351867,0.28706673832422724,15
5.046705897474843,2.246487457671385,1.1355517774519879,0.29537774101625414,16
5.16113331588602,2.271812781873986,1.1588680249006538,0.27940135806695154,17
5.105615322709191,2.2595608694410494,1.1225028832310529,0.28715279327265175,18
5.156346347836156,2.2707589805693065,1.1265585833410046,0.2800697156668398,19
5.129583795413114,2.2648584493104895,1.143756602330696,0.28380630950202457,20
5.015195473356463,2.2394632109852717,1.1947348032402363,0.29977723380915466,21
5.029010052675043,2.2425454404927994,1.158410791612471,0.297848439010306,22
5.135393353618947,2.2661406297092306,1.150210054554464,0.28299517762514226,23
4.997796651075833,2.2355752394128525,1.1540241090218981,0.30220646144953844,24
5.127818872722961,2.264468783781963,1.1096555715142964,0.28405272842124263,25
5.031018026896375,2.2429930955971256,1.1750793166028155,0.29756808517939937,26
5.008074745542856,2.2378728171062034,1.1956745870021388,0.3007714314936567,27
5.001917101998639,2.2364966134556608,1.1273296078412096,0.3016311631269809,28
5.081660151268952,2.254253790341485,1.124652687244958,0.29049741991772937,29
