mse,rmse,mae,r2,model_index
3.0757545612548416,1.7537829287727833,0.7636325432592878,0.3650866330639527,0
2.9259535376927173,1.710541884226375,0.731348343086232,0.3960093449858987,1
2.927493554261136,1.7109919796016393,0.7877842462265363,0.39569144669943945,2
2.872024656524628,1.6947048877384605,0.7575317105491295,0.40714162710907176,3
2.9378367629739883,1.714011891141362,0.7687177554638025,0.39355634738055223,4
2.890321112292317,1.7000944421685276,0.762269490023758,0.403364776875053,5
2.9552214565603347,1.7190757564925214,0.7404882294217227,0.38996770787169777,6
2.9008202569722243,1.7031794553047617,0.7633761596018457,0.4011974884370739,7
3.0016579533483134,1.732529351367045,0.7233667227227499,0.38038204297640055,8
2.880353933463686,1.6971605502908926,0.7400309393009712,0.4054222541356436,9
2.8733210881420246,1.6950873393846184,0.7183858490575015,0.40687401090406883,10
2.936908148578181,1.713740980597179,0.7328679501125128,0.393748036828096,11
2.8724154255778696,1.6948201749972973,0.7673087852741286,0.40706096251430424,12
2.917964694185488,1.7082051089332007,0.76193414874623,0.39765844390718275,13
2.944088923302964,1.715834759906374,0.7441393436443204,0.3922657436974435,14
2.8733504077411993,1.6950959877662384,0.7270238689716124,0.40686795859883496,15
2.919448830340883,1.708639467629401,0.7389920488818071,0.3973520807482742,16
2.949473490006315,1.7174031239072307,0.7368097003586221,0.39115423323487863,17
2.8919598481249653,1.7005763282266884,0.7486931252436634,0.40302650044099286,18
2.887172639689916,1.6991682199505487,0.7587335758970783,0.40401470108092996,19
2.874718028246166,1.6954993448085334,0.7319167589418368,0.4065856472107816,20
2.9039594534526536,1.7041007756152962,0.752233987199654,0.40054947905688143,21
2.9282026015073734,1.7111991706132204,0.7427663277066795,0.39554508145297396,22
2.861357936188631,1.6915548871345059,0.79051296631902,0.4093435073917202,23
2.943640986521782,1.715704224661635,0.7493870960469722,0.39235820915404973,24
2.9100108648981338,1.705875395478267,0.7354064873150616,0.39930031500980034,25
2.868457645471209,1.6936521618889782,0.7342324685623901,0.4078779482142578,26
2.928701586060484,1.7113449640737206,0.7282264877503032,0.3954420784479048,27
2.8159605217038504,1.678082394193995,0.7509922063620267,0.4187146794754134,28
2.9362099845399987,1.7135372725855713,0.7248450549911208,0.39389215550574996,29
