mse,rmse,mae,r2,model_index
4.223442574662127,2.055101597163052,1.0160375865563784,0.29104676697401743,0
4.226468016504255,2.0558375462337133,1.041210257719794,0.2905389118919627,1
4.2203013321603216,2.054337200208457,1.03456669950697,0.2915740605237709,2
4.253945170394565,2.0625094352255857,1.0322089412750108,0.285926556747902,3
4.2178908024432635,2.0537504236014814,1.0271292956074867,0.29197869555929057,4
4.22934052392524,2.0565360497509495,1.0312985249866229,0.2900567286049882,5
4.222423517727109,2.054853648736841,1.0259787910676579,0.29121782735804,6
4.251479844664046,2.0619116966213773,1.033780894652161,0.28634038992219424,7
4.2496583373361165,2.061469945775615,1.0197718543546166,0.28664615080002964,8
4.234525032806139,2.057796159197052,1.021285206671523,0.28918644937950133,9
4.202861586239883,2.050088189868885,1.0448782155599905,0.2945015217203839,10
4.24391447376152,2.060076327168855,1.0358311805836995,0.2876103241205574,11
4.262669651441624,2.0646233679394466,1.010557574017997,0.28446205262941493,12
4.231400006273397,2.0570367051351797,1.0322541721784944,0.289711020893027,13
4.247375284899189,2.0609161275751102,1.0030213820377671,0.2870293873133041,14
4.26189890361891,2.0644367037085223,1.0115225036584834,0.28459143148353716,15
4.229825620728997,2.0566539866319267,1.0258385207798713,0.28997529954770285,16
4.227095839674482,2.0559902333606748,1.0347091389538046,0.2904335245785489,17
4.249885957433807,2.0615251532382057,1.0108649224497208,0.28660794215831,18
4.216770472817344,2.0534776533523185,1.0302369820085726,0.2921667557249752,19
4.244723728002327,2.060272731461135,1.0204599894401678,0.28747448152290933,20
4.246168580593544,2.060623347580422,1.0142136078080615,0.28723194645875694,21
4.239706102283018,2.0590546622863166,1.0326022965082986,0.2883167474973918,22
4.230066350393092,2.0567125103896005,1.0308748194434723,0.28993489031503805,23
4.227627520463514,2.0561195297121015,1.0271464274354862,0.29034427586552414,24
4.231283486969724,2.0570083828146455,1.0229396828385535,0.2897305799933555,25
4.274334979972769,2.0674464878135947,1.0130515534105657,0.28250389356124583,26
4.2321751446137625,2.0572251079096238,1.022237895763789,0.2895809050402056,27
4.251862226728412,2.0620044196675265,1.008291745397627,0.28627620271093446,28
4.228557193419876,2.0563455919226894,1.0325468686262738,0.2901882196065796,29
