mse,rmse,mae,r2,model_index
3.9729023400481096,1.9932140728100707,1.070732097736876,0.256311867554626,0
3.988077197641147,1.997017074949823,1.0667453140072631,0.25347128388617524,1
3.9981719124892954,1.999542925893139,1.0789167384916312,0.2515816528329998,2
3.99655851326867,1.9991394431776564,1.09442084095365,0.2518836652537888,3
3.992799705179517,1.9981991154986325,1.101588588432795,0.2525872770541253,4
3.9933580801556934,1.9983388301676204,1.0968995014545548,0.2524827547659607,5
4.01798442452753,2.0044910637185516,1.0658686755541629,0.2478729459946164,6
3.980168902050163,1.9950360653507402,1.1080635162616148,0.25495163881954463,7
4.035015368777485,2.0087347681507093,1.0510810601916836,0.24468492121098262,8
3.9941571131620504,1.9985387444735843,1.08131884638262,0.25233318366820934,9
3.977040103406918,1.9942517653011913,1.0888176082456371,0.25553731906552934,10
3.9885444178711333,1.9971340510519402,1.0695766776159947,0.25338382486741795,11
3.976088035713088,1.9940130480297986,1.0981752217647782,0.2557155367473608,12
3.985839046370416,1.9964566227119527,1.0931897705400981,0.25389024372867675,13
4.016620209494717,2.004150745202246,1.0795221053032296,0.24812831359320542,14
4.004675331588761,2.001168491554062,1.0765607605268954,0.2503642769222363,15
3.997944863946801,1.9994861499762386,1.073458591178027,0.2516241540807249,16
4.00830389177261,2.0020748966441317,1.0800587190117785,0.2496850462451088,17
4.02271127695061,2.0056697826288876,1.0665064655831207,0.24698812584300334,18
4.001938482440982,2.0004845619101843,1.0947107491843553,0.25087658808855395,19
4.005083194439694,2.0012703951339743,1.0779303200679025,0.2502879290193828,20
4.0019961649245985,2.0004989789861423,1.0860593332178878,0.250865790496556,21
3.9942469841657364,1.9985612285255951,1.0704688114606373,0.2523163607027368,22
3.9746775507191088,1.993659336676933,1.0868947981207164,0.2559795656263092,23
3.989573553460458,1.9973916875416444,1.0882428842522536,0.2531911808356876,24
4.0030207856818345,2.000755053893863,1.0745471662402275,0.2506739915968619,25
3.9946681359816036,1.9986665894995101,1.0769463297484319,0.2522375252367196,26
4.024964489876078,2.006231414836304,1.0536601989829852,0.2465663466072916,27
3.9902721983486877,1.9975665691907962,1.0868358259663218,0.2530604014034995,28
4.014473197468508,2.00361503225258,1.0778567721825254,0.24853021306805878,29
