position,algorithm,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,models_trained
GK,DeepLearning,2.9134920296541433,0.048045894670564214,1.7068398403152287,0.014011909964555503,0.7471318125679525,0.018209613530083494,0.39858171474697746,0.009917885236036927,30
DEF,DeepLearning,3.998062515730734,0.015482097142027968,1.9995119501912835,0.0038698801082637617,1.0805218096220217,0.0134100246892431,0.2516021308271984,0.0028980958816503827,30
MID,DeepLearning,4.236989275431745,0.015820110364997177,2.0583913640683633,0.003841842301548247,1.0249115843766305,0.010397201377029845,0.28877279801677996,0.0026555868090594008,30
FWD,DeepLearning,5.0907346524575985,0.06586479485667922,2.2562200918803517,0.014582090563088521,1.1446699833914618,0.02402523948186105,0.28923043593716985,0.009196058078723354,30
