prediction_gw,target_gw,algorithm,formation,predicted_points,actual_points,actual_points_no_captaincy,avg_fpl_points,captain,captain_points,prediction_diff,prediction_diff_pct,prediction_accuracy,avg_player_diff,std_player_diff,points_vs_avg,pct_vs_avg
2,3,GBReg,3-5-2,51.9095817496864,73,56,64,Mohamed Salah,34,-4.090418250313597,7.879890595223893,92.69568169586859,0.37185620457396384,4.18621326426496,9,14.0625
2,3,GBReg,3-5-2,51.9095817496864,73,56,64,Mohamed Salah,34,-4.090418250313597,7.879890595223893,92.69568169586859,0.37185620457396384,4.18621326426496,9,14.0625
2,3,LSTM,4-4-2,76.72286319732666,62,56,64,Bukayo Saka,12,20.72286319732666,-27.01002326259473,62.99488714763096,-1.8838966543024236,3.918000037744024,-2,-3.125
2,3,LSTM,4-4-2,76.72286319732666,62,56,64,Bukayo Saka,12,20.72286319732666,-27.01002326259473,62.99488714763096,-1.8838966543024236,3.918000037744024,-2,-3.125
2,3,RFReg,3-5-2,52.92885988219444,70,53,64,Mohamed Salah,34,-0.0711401178055624,0.13440704742913034,99.86577336263102,0.006467283436869309,4.2293264670813535,6,9.375
2,3,RFReg,3-5-2,52.92885988219444,70,53,64,Mohamed Salah,34,-0.0711401178055624,0.13440704742913034,99.86577336263102,0.006467283436869309,4.2293264670813535,6,9.375
2,3,Ridge,4-4-2,52.324092756283825,81,64,64,Mohamed Salah,34,-11.675907243716175,22.31459090576198,81.75639493169348,1.0614461130651065,3.745782952897066,17,26.5625
2,3,Ridge,4-4-2,52.324092756283825,81,64,64,Mohamed Salah,34,-11.675907243716175,22.31459090576198,81.75639493169348,1.0614461130651065,3.745782952897066,17,26.5625
2,3,XGBoost,5-2-3,51.8816020488739,73,56,64,Mohamed Salah,34,-4.118397951126099,7.938070122133967,92.64571794441768,0.37439981373873615,4.2696865443714715,9,14.0625
2,3,XGBoost,5-2-3,51.8816020488739,73,56,64,Mohamed Salah,34,-4.118397951126099,7.938070122133967,92.64571794441768,0.37439981373873615,4.2696865443714715,9,14.0625
3,4,DeepLearning,4-4-2,48.793742179870605,42,40,51,Mohamed Salah,4,8.793742179870605,-18.02227455203954,78.01564455032349,-0.7994311072609641,4.032627359682342,-9,-17.647058823529417
3,4,DeepLearning,4-4-2,48.793742179870605,42,40,51,Mohamed Salah,4,8.793742179870605,-18.02227455203954,78.01564455032349,-0.7994311072609641,4.032627359682342,-9,-17.647058823529417
3,4,GBReg,4-4-2,54.547423061131475,60,58,51,Mohamed Salah,4,-3.452576938868525,6.329495959871845,94.04728113988186,0.3138706308062284,4.6354463960407255,9,17.647058823529417
3,4,GBReg,4-4-2,54.547423061131475,60,58,51,Mohamed Salah,4,-3.452576938868525,6.329495959871845,94.04728113988186,0.3138706308062284,4.6354463960407255,9,17.647058823529417
3,4,LSTM,3-4-3,87.19280767440796,55,52,51,Cole Palmer,6,35.19280767440796,-40.36205349164072,32.321523703061615,-3.1993461522189053,7.041426530724224,4,7.843137254901955
3,4,LSTM,3-4-3,87.19280767440796,55,52,51,Cole Palmer,6,35.19280767440796,-40.36205349164072,32.321523703061615,-3.1993461522189053,7.041426530724224,4,7.843137254901955
3,4,RFReg,5-3-2,49.72839541431299,54,52,51,Mohamed Salah,4,-2.271604585687008,4.568023091758944,95.6315296429096,0.20650950778972763,4.072007368350456,3,5.882352941176472
3,4,RFReg,5-3-2,49.72839541431299,54,52,51,Mohamed Salah,4,-2.271604585687008,4.568023091758944,95.6315296429096,0.20650950778972763,4.072007368350456,3,5.882352941176472
3,4,Ridge,4-3-3,51.98815249228,27,25,51,Mohamed Salah,4,26.98815249228,-51.91212073998517,0.0,-2.453468408389092,1.9524083782439323,-24,-47.05882352941176
3,4,Ridge,4-3-3,51.98815249228,27,25,51,Mohamed Salah,4,26.98815249228,-51.91212073998517,0.0,-2.453468408389092,1.9524083782439323,-24,-47.05882352941176
3,4,XGBoost,4-4-2,53.57424879074097,40,38,51,Mohamed Salah,4,15.574248790740967,-29.0704006911481,59.01513476120799,-1.4158407991582698,2.981655366305849,-11,-21.568627450980394
3,4,XGBoost,4-4-2,53.57424879074097,40,38,51,Mohamed Salah,4,15.574248790740967,-29.0704006911481,59.01513476120799,-1.4158407991582698,2.981655366305849,-11,-21.568627450980394
4,5,DeepLearning,4-4-2,44.114678144454956,63,57,58,Mohamed Salah,12,-12.885321855545044,29.208695149835705,77.39417218325431,1.1713928959586404,2.5742432393504386,5,8.62068965517242
4,5,DeepLearning,4-4-2,44.114678144454956,63,57,58,Mohamed Salah,12,-12.885321855545044,29.208695149835705,77.39417218325431,1.1713928959586404,2.5742432393504386,5,8.62068965517242
4,5,GBReg,5-3-2,50.560926829926416,53,47,58,Mohamed Salah,12,3.560926829926416,-7.042843264927545,92.42355993632677,-0.3237206209024018,2.7578188745253853,-5,-8.62068965517241
4,5,GBReg,5-3-2,50.560926829926416,53,47,58,Mohamed Salah,12,3.560926829926416,-7.042843264927545,92.42355993632677,-0.3237206209024018,2.7578188745253853,-5,-8.62068965517241
4,5,LSTM,3-5-2,82.36141109466553,78,72,58,Mohamed Salah,12,10.361411094665527,-12.580419588435909,85.60915125740898,-0.941946463151412,4.4589229999059246,20,34.48275862068966
4,5,LSTM,3-5-2,82.36141109466553,78,72,58,Mohamed Salah,12,10.361411094665527,-12.580419588435909,85.60915125740898,-0.941946463151412,4.4589229999059246,20,34.48275862068966
4,5,RFReg,3-4-3,51.299993373313264,70,64,58,Mohamed Salah,12,-12.700006626686736,24.756351398075218,80.15623964580197,1.154546056971521,4.233652139557217,12,20.68965517241379
4,5,RFReg,3-4-3,51.299993373313264,70,64,58,Mohamed Salah,12,-12.700006626686736,24.756351398075218,80.15623964580197,1.154546056971521,4.233652139557217,12,20.68965517241379
4,5,Ridge,4-4-2,48.83828088393574,62,56,58,Mohamed Salah,12,-7.161719116064262,14.664150716287704,87.21121586417095,0.6510653741876605,4.552508035470377,4,6.896551724137923
4,5,Ridge,4-4-2,48.83828088393574,62,56,58,Mohamed Salah,12,-7.161719116064262,14.664150716287704,87.21121586417095,0.6510653741876605,4.552508035470377,4,6.896551724137923
4,5,XGBoost,3-4-3,53.88065767288208,59,53,58,Ollie Watkins,12,0.8806576728820801,-1.634459768900165,98.3383817492791,-0.08005978844382546,2.404387932251899,1,1.724137931034475
4,5,XGBoost,3-4-3,53.88065767288208,59,53,58,Ollie Watkins,12,0.8806576728820801,-1.634459768900165,98.3383817492791,-0.08005978844382546,2.404387932251899,1,1.724137931034475
5,6,DeepLearning,3-5-2,53.173423528671265,77,67,50,Mohamed Salah,20,-13.826576471328735,26.002795294670843,79.36331869950935,1.2569614973935215,7.1028365820694574,27,54.0
5,6,DeepLearning,3-5-2,53.173423528671265,77,67,50,Mohamed Salah,20,-13.826576471328735,26.002795294670843,79.36331869950935,1.2569614973935215,7.1028365820694574,27,54.0
5,6,GBReg,4-3-3,53.49334247536814,78,68,50,Mohamed Salah,20,-14.506657524631862,27.118622343166688,78.6666801108355,1.3187870476938057,6.745580025310275,28,56.00000000000001
5,6,GBReg,4-3-3,53.49334247536814,78,68,50,Mohamed Salah,20,-14.506657524631862,27.118622343166688,78.6666801108355,1.3187870476938057,6.745580025310275,28,56.00000000000001
5,6,LSTM,4-3-3,75.20949745178223,68,58,50,Mohamed Salah,20,17.209497451782227,-22.882080102736303,70.32845266934099,-1.5644997683438389,7.309383307733968,18,36.00000000000001
