algorithm,avg_points,actual_points_min,actual_points_max,actual_points_std,avg_vs_avg,points_vs_avg_min,points_vs_avg_max,points_vs_avg_std,avg_pct_vs_avg,pct_vs_avg_min,pct_vs_avg_max,pct_vs_avg_std,gameweeks_analyzed,avg_captain_points,total_captain_points,avg_prediction_diff,std_prediction_diff,min_prediction_diff,max_prediction_diff,avg_prediction_diff_pct,std_prediction_diff_pct,avg_player_prediction_diff,avg_std_player_prediction_diff,captain_contribution_pct,prediction_accuracy,win_rate_pct
RFReg,62.86206896551724,33,98,14.059333262450034,8.206896551724139,-13,36,11.95423821296316,16.179009586375024,-28.260869565217394,58.06451612903225,22.1274146880459,58,18.06896551724138,1048,-3.8739790730752817,11.89353143001774,-29.794484428550057,22.869692145125164,7.958293371667997,23.736331815546862,0.3521799157341165,4.199119023982707,28.74382885353813,93.83733444217317,75.86206896551724
DeepLearning,62.689655172413794,37,91,16.554224453215227,8.03448275862069,-45,31,16.57409256836132,16.435636216533148,-51.72413793103448,63.26530612244898,28.117871419287162,58,19.17241379310345,1112,-6.20586424860461,14.111199732027217,-34.57713770866394,18.08698320388794,13.737285656228666,30.509714171037956,0.5641694771458736,4.282323038237456,30.583058305830583,90.10065658913456,72.41379310344827
Ridge,60.86206896551724,27,87,15.968662596409482,6.206896551724138,-33,37,15.476930903755985,12.942170331230825,-47.05882352941176,74.0,28.272349606345486,58,19.24137931034483,1116,-0.4992081088708332,13.198360445633234,-30.92791381645673,27.133900501422254,1.6928258553550317,27.440693098867428,0.0453825553518939,4.095396310369232,31.614730878186975,99.17977137919239,68.96551724137932
LSTM,60.62068965517241,37,83,12.027494213671071,5.9655172413793105,-31,33,14.106071253860721,13.55768437318978,-35.63218390804598,65.99999999999999,24.65204816625319,58,18.137931034482758,1052,23.840878552403943,12.960635605514089,0.2689938545227051,48.473915100097656,-30.47198768055803,15.30086661017392,-2.1673525956730857,5.007877160283163,29.92036405005688,60.67204334358849,68.96551724137932
GBReg,60.03448275862069,35,92,15.864520181996069,5.379310344827586,-30,30,13.046243777770437,10.153960302319666,-34.48275862068966,56.00000000000001,21.602333283787505,58,18.344827586206897,1064,0.8978339602269851,12.691903231288569,-31.995932165985266,17.948044408168585,-1.9041214091580296,24.65348093610451,-0.08162126911154412,4.093802392759803,30.557151062607694,98.50446956653748,62.06896551724138
XGBoost,58.689655172413794,32,87,14.849191479616193,4.0344827586206895,-32,37,13.407206123706654,8.43033232825222,-36.7816091954023,74.0,23.86601925698621,58,16.620689655172413,964,2.078929596933825,11.009057177102237,-27.134458780288696,18.764639854431152,-3.8447224601031365,20.99982565089226,-0.18899359972125687,4.162058812996432,28.31962397179788,96.45775803107632,62.06896551724138
