timestamp,position,algorithm,params,mae,mse,rmse,r2,acc,f1
20250309_121434,GK,GradientBoosting,"(200, 3, 0.1, 1.0, 2)",0.7376315644144101,2.8850724939332046,1.6985501152256899,0.40444822416832027,,
20250309_121434,GK,RandomForest,"(100, 5, 10, 1)",0.7333909608799464,2.8239455604310875,1.680459925267808,0.4170663659567443,,
20250309_121434,GK,XGBoost,"(3, 0.1, 100, 0.85, 0.7)",0.729674365686814,2.8227122463767427,1.6800929278991512,0.4173209531037805,,
20250309_121434,GK,Ridge,{'alpha': 100.0},0.7853526390355179,2.8496823054659663,1.6881002059907364,0.41175365224092586,,
20250309_121434,GK,DeepLearning,Regularized Feedforward NN,0.7185093975155661,2.8655099958708665,1.6927817330863617,0.40848641748416537,,
20250309_121434,GK,LSTM,"Bidirectional LSTM, lookback=3",0.8099627727055864,2.935370683165889,1.7132923519253476,0.3940654084915449,,
20250309_121434,GK,RFClf_played_next,"(300, None, 5, 2, 'balanced')",,,,,0.959045904590459,0.9212121212121213
20250309_121434,GK,RFClf_started_next,"(200, None, 5, 2, 'balanced')",,,,,0.9581458145814582,0.9186351706036745
20250309_121434,DEF,GradientBoosting,"(100, 3, 0.1, 0.7, 10)",1.1275211461645367,3.9861448578855714,1.9965332098128423,0.253832998829326,,
20250309_121434,DEF,RandomForest,"(100, None, 5, 4)",1.1362263322674475,4.000720166250154,2.000180033459527,0.2511046448629558,,
20250309_121434,DEF,XGBoost,"(7, 0.05, 200, 1.0, 0.85)",1.122712523629783,4.010173141124611,2.002541670259226,0.24933514120323264,,
20250309_121434,DEF,Ridge,{'alpha': 100.0},1.1951811382008108,4.001763527333178,2.0004408332498063,0.25090933795911396,,
20250309_121434,DEF,DeepLearning,Regularized Feedforward NN,1.1174307463114397,4.030210149407577,2.0075383307442918,0.24558441088209126,,
20250309_121434,DEF,LSTM,"Bidirectional LSTM, lookback=3",1.1315768752445798,4.085213060320362,2.021191000455019,0.23528840846505406,,
20250309_121434,DEF,RFClf_played_next,"(300, None, 10, 2, 'balanced')",,,,,0.8472892006429928,0.8127575703278982
20250309_121434,DEF,RFClf_started_next,"(100, None, 2, 2, 'balanced')",,,,,0.8613181353207657,0.798812804748781
20250309_121434,MID,GradientBoosting,"(100, 3, 0.1, 1.0, 5)",1.018745334761857,4.172794809533331,2.0427419831034292,0.29954857472890883,,
20250309_121434,MID,RandomForest,"(300, 10, 5, 4)",1.0195958884435454,4.181449256895952,2.0448592266696384,0.29809582656687794,,
20250309_121434,MID,XGBoost,"(3, 0.1, 200, 0.85, 0.85)",1.0186559061875804,4.183338987800726,2.045321243179351,0.2977786135798881,,
20250309_121434,MID,Ridge,{'alpha': 0.001},1.0631556658592822,4.196201007897677,2.0484630843385188,0.29561957611938516,,
20250309_121434,MID,DeepLearning,Regularized Feedforward NN,1.0121842435808288,4.251193271194306,2.061842203272187,0.28638849456296545,,
20250309_121434,MID,LSTM,"Bidirectional LSTM, lookback=3",1.0244410082880309,4.314704284618211,2.0771866272962116,0.2757274431804364,,
20250309_121434,MID,RFClf_played_next,"(300, None, 10, 2, 'balanced')",,,,,0.8545192653943104,0.8404423380726699
20250309_121434,MID,RFClf_started_next,"(300, 10, 10, 4, 'balanced')",,,,,0.854639299003721,0.7788935548658025
20250309_121434,FWD,GradientBoosting,"(100, 3, 0.05, 0.7, 5)",1.156030977733224,4.869158550486493,2.2066169922500127,0.3201669431716836,,
20250309_121434,FWD,RandomForest,"(100, 10, 10, 4)",1.1513789809609207,4.884998896020165,2.2102033607838365,0.317955310419594,,
20250309_121434,FWD,XGBoost,"(5, 0.1, 100, 0.7, 1.0)",1.1604544447732514,5.048369243083509,2.246857637475839,0.2951455043129354,,
20250309_121434,FWD,Ridge,{'alpha': 1.0},1.2064972177565312,4.9712696583376115,2.2296344225764035,0.30591016638637736,,
20250309_121434,FWD,DeepLearning,Regularized Feedforward NN,1.1209912950468415,5.188215000401968,2.277765352357869,0.2756202069342375,,
20250309_121434,FWD,LSTM,"Bidirectional LSTM, lookback=3",1.2203020742043893,5.244600812377936,2.2901093450702166,0.2677476066646203,,
20250309_121434,FWD,RFClf_played_next,"(200, 5, 5, 1, 'balanced')",,,,,0.8507173322993409,0.8304711580801409
20250309_121434,FWD,RFClf_started_next,"(100, 5, 2, 1, 'balanced')",,,,,0.8483908491663436,0.7432698621142482
